24.06.2020 10:09:59 349, 937; 55, 148
24.06.2020 10:25:00 555, 935; 88, 149
24.06.2020 10:38:04 551, 898; 87, 142
24.06.2020 10:51:22 113, 920; 18, 145
24.06.2020 11:04:56 499, 913; 79, 144
24.06.2020 11:18:45 594, 950; 94, 150
24.06.2020 11:35:00 706, 945; 111, 149
24.06.2020 11:49:19 657, 912; 104, 145
24.06.2020 12:03:53 783, 920; 123, 145
24.06.2020 12:18:41 772, 898; 122, 146
24.06.2020 12:33:45 681, 925; 107, 147
24.06.2020 12:51:18 816, 922; 129, 147
24.06.2020 13:06:52 110, 914; 18, 148
24.06.2020 13:22:25 142, 911; 23, 147
24.06.2020 13:37:59 122, 1006; 18, 152
24.06.2020 13:53:33 897, 1006; 132, 147
24.06.2020 14:11:21 428, 1035; 63, 151
24.06.2020 14:26:53 810, 936; 132, 151
24.06.2020 14:42:27 543, 932; 88, 151
24.06.2020 14:58:01 724, 945; 114, 150
24.06.2020 15:13:34 789, 991; 125, 156
25.06.2020 07:42:19 434, 1042; 64, 155
25.06.2020 07:50:39 500, 976; 74, 156
25.06.2020 07:59:14 775, 991; 124, 154
25.06.2020 08:08:06 754, 1029; 123, 155
25.06.2020 08:19:37 728, 983; 107, 151
25.06.2020 08:28:58 520, 1021; 77, 155
25.06.2020 08:38:34 488, 1002; 69, 148
25.06.2020 08:48:22 118, 1105; 18, 152
25.06.2020 08:58:26 542, 1113; 78, 147
25.06.2020 09:11:06 588, 1079; 79, 149
25.06.2020 09:21:39 428, 1095; 56, 152
25.06.2020 09:32:29 861, 1089; 114, 152
25.06.2020 09:43:32 574, 1109; 86, 146
25.06.2020 09:54:51 668, 1120; 92, 152
25.06.2020 10:08:42 767, 1110; 102, 153
25.06.2020 10:20:30 481, 1074; 74, 153
25.06.2020 10:32:36 743, 1023; 112, 148
25.06.2020 10:44:55 822, 1045; 125, 155
25.06.2020 10:57:28 952, 1109; 136, 155
25.06.2020 11:12:42 694, 1130; 99, 152
25.06.2020 11:25:55 704, 985; 109, 158
25.06.2020 11:39:14 365, 1005; 58, 150
25.06.2020 11:52:48 123, 1066; 18, 154
25.06.2020 12:06:36 412, 1126; 57, 151
25.06.2020 12:23:16 479, 1134; 64, 154
25.06.2020 12:37:36 862, 1003; 134, 156
25.06.2020 12:52:12 471, 993; 75, 157
25.06.2020 13:07:01 440, 1019; 66, 153
25.06.2020 13:22:05 431, 1008; 65, 149
25.06.2020 13:40:01 248, 986; 38, 151
26.06.2020 06:53:14 531, 979; 84, 155
26.06.2020 07:01:31 113, 974; 18, 155
26.06.2020 07:10:04 114, 995; 18, 154
26.06.2020 07:18:52 115, 996; 18, 156
26.06.2020 07:30:08 741, 979; 117, 154
26.06.2020 07:39:26 765, 973; 121, 155
26.06.2020 07:48:59 566, 988; 90, 157
26.06.2020 07:58:48 481, 952; 76, 151
26.06.2020 08:08:52 798, 963; 127, 151
26.06.2020 08:21:24 744, 913; 120, 148
26.06.2020 08:31:57 647, 926; 105, 149
26.06.2020 08:42:45 822, 921; 132, 149
26.06.2020 08:53:48 502, 938; 81, 152
26.06.2020 09:05:07 598, 949; 97, 153
26.06.2020 09:18:55 686, 938; 112, 152
26.06.2020 09:30:43 773, 941; 126, 152
26.06.2020 09:42:46 655, 953; 104, 154
26.06.2020 09:55:05 840, 964; 136, 156
26.06.2020 10:07:38 820, 934; 133, 152
26.06.2020 10:22:41 826, 966; 134, 156
26.06.2020 10:35:44 679, 968; 110, 156
26.06.2020 10:49:02 801, 973; 129, 157
26.06.2020 11:03:11 518, 1062; 116, 155
26.06.2020 11:11:29 768, 1064; 112, 155
26.06.2020 11:20:02 870, 1007; 127, 147
26.06.2020 11:28:50 925, 1070; 136, 156
27.06.2020 06:53:50 876, 1192; 127, 155
27.06.2020 07:02:09 882, 1070; 131, 154
27.06.2020 07:10:41 908, 1031; 136, 154
27.06.2020 07:19:29 837, 1037; 126, 156
27.06.2020 07:30:47 117, 1034; 18, 156
27.06.2020 07:40:05 464, 1036; 70, 157
27.06.2020 07:49:37 775, 1040; 117, 158
27.06.2020 07:59:26 910, 1022; 137, 154
27.06.2020 08:09:28 593, 982; 90, 153
27.06.2020 08:21:59 555, 1008; 82, 152
27.06.2020 08:32:32 898, 1035; 133, 152
27.06.2020 08:43:20 873, 1015; 129, 151
27.06.2020 08:54:22 925, 1028; 137, 153
27.06.2020 09:05:40 878, 1075; 129, 160
27.06.2020 09:19:27 862, 1053; 128, 155
27.06.2020 09:31:14 867, 1041; 129, 154
27.06.2020 09:43:17 447, 1013; 66, 151
27.06.2020 09:55:35 860, 1055; 127, 156
27.06.2020 10:08:07 862, 1046; 128, 155
27.06.2020 10:23:09 957, 1046; 142, 154
27.06.2020 10:36:12 814, 991; 124, 151
27.06.2020 10:49:29 805, 1035; 122, 156
27.06.2020 11:03:03 106, 1027; 136, 157
27.06.2020 11:17:02 106, 106; 142, 142
27.06.2020 11:35:49 106, 111; 142, 142
27.06.2020 11:50:19 106, 113; 142, 142
27.06.2020 12:05:04 106, 111; 142, 142
27.06.2020 12:20:05 106, 106; 142, 142
27.06.2020 12:35:20 106, 110; 142, 142
27.06.2020 12:55:30 106, 106; 142, 142
06.07.2020 08:17:44 113, 835; 18, 129
